location,total_sqft,bath,price,bedroom
Electronic City Phase II,1056.0,2.0,39.07,2
Uttarahalli,1440.0,2.0,62.00000000000001,3
Lingadheeranahalli,1521.0,3.0,95.0,3
Kothanur,1200.0,2.0,51.0,2
Whitefield,1170.0,2.0,37.99999999999999,2
Marathahalli,1310.0,3.0,63.24999999999999,3
Whitefield,1800.0,2.0,70.00000000000003,3
7th Phase JP Nagar,1000.0,2.0,37.99999999999999,2
Gottigere,1100.0,2.0,40.0,2
Sarjapur,2250.0,3.0,147.99999999999994,3
Mysore Road,1175.0,2.0,73.49999999999997,2
Bisuvanahalli,1180.0,3.0,48.00000000000001,3
Raja Rajeshwari Nagar,1540.0,3.0,59.999999999999986,3
other,1100.0,2.0,48.00000000000001,2
Kengeri,600.0,1.0,15.0,1
Binny Pete,1755.0,3.0,122.00000000000003,3
Bellandur,1767.0,3.0,103.00000000000001,3
Thanisandra,510.0,1.0,25.25,1
other,1250.0,3.0,56.00000000000002,3
Electronic City,660.0,1.0,23.099999999999998,2
Whitefield,1610.0,3.0,81.00000000000003,3
Ramagondanahalli,1151.0,2.0,48.769999999999996,2
Electronic City,1025.0,2.0,46.99999999999999,3
Bisuvanahalli,1075.0,2.0,34.99999999999999,3
Hebbal,1760.0,2.0,122.99999999999994,3
Raja Rajeshwari Nagar,1693.0,3.0,57.389999999999986,3
Kasturi Nagar,1925.0,3.0,125.00000000000004,3
Kanakpura Road,700.0,2.0,36.0,2
Electronics City Phase 1,1070.0,2.0,45.5,2
Kundalahalli,1724.0,3.0,125.00000000000004,3
Chikkalasandra,1290.0,2.0,56.11999999999999,3
Uttarahalli,1143.0,2.0,44.99999999999999,2
Murugeshpalya,1296.0,2.0,81.00000000000003,2
Sarjapur  Road,1254.0,3.0,37.99999999999999,3
other,600.0,1.0,37.99999999999999,1
Yelahanka,660.0,1.0,48.00000000000001,1
Kanakpura Road,1330.74,2.0,91.79000000000002,2
Doddathoguru,970.0,2.0,33.0,2
Whitefield,1459.0,2.0,94.82000000000002,2
other,869.0,2.0,36.0,2
other,1270.0,2.0,49.99999999999999,2
Bhoganhalli,1670.0,3.0,98.99999999999999,3
Whitefield,2010.0,3.0,90.99999999999997,3
Lakshminarayana Pura,1185.0,2.0,74.99999999999997,2
Yelahanka,1600.0,2.0,74.99999999999997,3
Begur Road,1200.0,2.0,43.99999999999999,2
other,840.0,2.0,44.99999999999999,2
other,845.0,2.0,55.000000000000014,2
Varthur,1160.0,2.0,43.99999999999999,2
Doddathoguru,1100.0,2.0,62.00000000000001,2
Gunjur,1140.0,2.0,43.0,2
Marathahalli,1220.0,2.0,57.00000000000001,2
Kanakpura Road,1005.0,2.0,36.68,2
Begur Road,1358.0,2.0,80.58,2
Hegde Nagar,1569.0,3.0,101.00000000000003,3
Haralur Road,1240.0,2.0,70.00000000000003,2
Hennur Road,2089.0,3.0,139.99999999999994,3
Kothannur,1206.0,2.0,48.22999999999999,2
Kalena Agrahara,1150.0,2.0,40.0,2
other,1660.0,2.0,104.99999999999997,3
Yelahanka,1326.0,2.0,78.0,2
Garudachar Palya,1325.0,2.0,60.800000000000004,3
EPIP Zone,1499.0,5.0,101.99999999999996,3
Kanakpura Road,1665.0,3.0,88.00000000000003,3
Dasanapura,708.0,2.0,36.99999999999999,2
Kasavanhalli,1060.0,2.0,58.06,2
Sanjay nagar,1000.0,2.0,70.00000000000003,2
Electronic City,1000.0,2.0,28.879999999999995,2
other,1450.0,2.0,70.00000000000003,3
Thanisandra,1296.0,2.0,79.99999999999997,2
Domlur,1540.0,3.0,90.0,3
Sarjapura - Attibele Road,1330.0,2.0,48.00000000000001,3
other,1200.0,2.0,64.99999999999999,2
other,1200.0,3.0,90.0,3
Yeshwanthpur,2502.0,3.0,138.00000000000006,3
Chandapura,650.0,1.0,17.0,2
Kothanur,2400.0,2.0,149.99999999999997,3
other,1007.0,2.0,43.0,2
other,1200.0,2.0,49.99999999999999,2
other,966.0,2.0,49.9,2
Nagarbhavi,1630.0,2.0,98.00000000000004,3
other,782.0,2.0,55.68000000000001,2
Devanahalli,1260.0,2.0,66.78,2
other,1800.0,3.0,119.99999999999997,3
other,1413.0,2.0,74.99999999999997,3
Whitefield,1116.0,2.0,51.910000000000004,2
Electronic City,1530.0,2.0,45.9,3
Sarjapur  Road,2497.0,3.0,139.99999999999994,3
Kengeri,1540.0,2.0,63.99999999999998,3
Thanisandra,1436.0,3.0,74.75000000000001,3
Malleshwaram,1100.0,2.0,74.99999999999997,2
Thanisandra,1427.0,3.0,119.99999999999997,3
Devanahalli,1282.0,2.0,68.52000000000002,3
Kadugodi,1050.0,2.0,34.00000000000001,2
LB Shastri Nagar,1600.0,3.0,64.99999999999999,3
other,945.0,2.0,54.00000000000001,2
Hormavu,1500.0,2.0,78.0,2
other,1870.0,3.0,110.00000000000004,3
Sarjapur,1600.0,3.0,74.99999999999997,3
Electronic City,880.0,1.0,16.5,2
Kudlu Gate,1535.0,3.0,83.00000000000003,3
Kanakpura Road,950.0,2.0,57.00000000000001,2
Devanahalli,1360.0,2.0,64.99999999999999,2
8th Phase JP Nagar,1073.5,2.0,54.004999999999995,2
Bommasandra Industrial Area,1280.0,3.0,50.4,3
other,1260.0,2.0,85.04999999999997,3
Kasavanhalli,1563.05,3.0,104.99999999999997,3
ISRO Layout,1000.0,2.0,59.999999999999986,2
Anandapura,1167.0,2.0,43.75999999999999,2
Kothanur,1828.0,3.0,110.00000000000004,3
Kengeri Satellite Town,890.0,2.0,34.99999999999999,2
other,1612.0,3.0,46.739999999999995,3
Mysore Road,1710.0,4.0,91.30999999999999,3
Kannamangala,957.0,2.0,57.999999999999986,2
Devarachikkanahalli,1250.0,2.0,43.99999999999999,3
Hulimavu,1125.0,2.0,49.99999999999999,2
Electronic City Phase II,1020.0,2.0,30.600000000000005,2
Kalena Agrahara,1200.0,2.0,49.99999999999999,2
Thanisandra,1735.0,3.0,135.00000000000003,3
Thanisandra,2050.0,3.0,144.99999999999997,3
other,1350.0,2.0,48.00000000000001,3
Hosa Road,1063.0,2.0,32.0,2
other,1904.0,3.0,149.99999999999997,3
Sarjapur,1242.5,2.0,43.489999999999995,2
other,1425.0,2.0,74.99999999999997,3
Electronic City,1500.0,2.0,64.49999999999999,3
Electronic City,1060.0,2.0,59.999999999999986,2
other,1470.0,2.0,70.00000000000003,3
Attibele,450.0,1.0,11.000000000000002,1
Electronic City,1152.0,2.0,64.49999999999999,2
Electronic City,1350.0,2.0,56.00000000000002,3
CV Raman Nagar,1550.0,3.0,64.99999999999999,3
other,1500.0,3.0,100.00000000000004,3
Nagavara,400.0,1.0,13.999999999999996,1
Electronic City,770.0,1.0,36.0,2
Hulimavu,1242.0,2.0,51.0,2
Hebbal Kempapura,1700.0,3.0,155.00000000000003,3
Thanisandra,2144.0,3.0,144.99999999999997,3
Vijayanagar,1704.0,3.0,110.00000000000004,3
Electronic City,1070.0,2.0,52.00000000000001,2
other,1340.0,2.0,55.7,2
Electronic City,1025.0,2.0,46.0,2
KR Puram,1277.5,2.0,56.800000000000004,2
Marathahalli,1200.0,2.0,52.00000000000001,2
Kanakpura Road,2250.0,4.0,110.00000000000004,4
Pattandur Agrahara,1550.0,2.0,79.99999999999997,3
Marathahalli,1200.0,2.0,59.999999999999986,2
Yelahanka,1327.0,2.0,98.00000000000004,2
Kothanur,1186.0,2.0,57.999999999999986,2
other,1783.0,3.0,115.00000000000001,3
HSR Layout,1400.0,3.0,56.00000000000002,3
Nagasandra,980.0,2.0,48.00000000000001,2
EPIP Zone,1285.0,2.0,82.00000000000001,2
other,912.0,2.0,70.00000000000003,3
Whitefield,1225.0,2.0,47.60000000000001,2
Whitefield,1075.0,2.0,53.00000000000001,2
Kadugodi,1260.0,2.0,54.00000000000001,3
